,tag,is_np_part,is_after_StopWord,is_after_verb,is_before_StopWord,is_before_verb,np_index,tag_before,tag_after,is_after_StartStops,is_before_key_stop,token_tf,normalized_tfnum_set
0,1,0,0,0,0,0,-1,0,16,0,0,1,0.03571428571428571
1,16,1,0,0,0,0,0,1,13,0,0,1,0.03571428571428571
2,13,1,0,0,1,1,0,16,18,0,0,2,0.07142857142857142
3,18,0,0,0,0,0,-1,13,13,0,0,1,0.03571428571428571
4,13,0,1,1,0,1,-1,18,27,0,0,1,0.03571428571428571
5,27,0,0,0,0,0,-1,13,22,0,0,1,0.03571428571428571
6,22,0,0,1,1,0,-1,27,17,0,0,1,0.03571428571428571
7,17,0,0,0,1,0,-1,22,20,0,0,3,0.10714285714285714
8,20,0,1,0,1,0,-1,17,17,0,0,1,0.03571428571428571
9,17,0,1,0,1,0,-1,20,1,1,0,1,0.03571428571428571
10,1,0,1,0,1,0,-1,17,3,1,0,1,0.03571428571428571
11,3,0,1,0,1,0,-1,1,17,0,0,1,0.03571428571428571
12,17,0,1,0,0,0,-1,3,16,0,0,3,0.10714285714285714
13,16,1,1,0,0,0,0,17,4,0,0,2,0.07142857142857142
14,4,1,0,0,0,0,1,16,13,0,0,1,0.03571428571428571
15,13,1,0,0,0,0,1,4,27,0,0,1,0.03571428571428571
16,27,0,0,0,0,0,-1,13,22,0,0,1,0.03571428571428571
17,22,0,0,0,1,0,-1,27,13,0,0,1,0.03571428571428571
18,13,0,0,0,1,0,-1,22,7,0,0,1,0.03571428571428571
19,7,0,1,0,1,0,-1,13,9,0,0,1,0.03571428571428571
20,9,0,1,0,1,0,-1,7,17,0,0,1,0.03571428571428571
21,17,0,1,0,0,0,-1,9,16,0,0,3,0.10714285714285714
22,16,1,1,0,0,0,2,17,9,0,0,1,0.03571428571428571
23,9,0,0,0,0,0,-1,16,13,0,0,1,0.03571428571428571
24,13,0,0,0,1,0,-1,9,27,0,0,1,0.03571428571428571
25,27,0,0,0,0,0,-1,13,13,0,0,1,0.03571428571428571
26,13,0,1,0,0,0,-1,27,13,0,0,1,0.03571428571428571
27,13,0,0,0,0,0,-1,13,0,0,0,1,0.03571428571428571
28,17,0,0,0,1,0,-1,0,20,0,0,1,0.06666666666666667
29,20,0,1,0,0,0,-1,17,7,0,0,1,0.06666666666666667
